"head__totalCount","head__numOfRows","head__pageNo","head__type","head__RESULT__resultCode","head__RESULT__resultMsg","row__restSeqNo","row__year","row__areaCd","row__equptype","row__restname","row__restaddr","row__creDttm","row__updtDttm","row__useYn","row__areaNm","row__operBeginDe","row__operEndDe","row__ar","row__usePsblNmpr","row__colrHoldElefn","row__colrHoldArcndtn","row__chckMatterNightOpnAt","row__chckMatterWkendHdayOpnAt","row__chckMatterStayngPsblAt","row__rm","row__dtlAdres","row__mngdpt_cd","row__mngdptCd","row__xcord","row__ycord","row__la","row__lo"
"","","","","","","4113100107","2023","4113162500","001","위례 중앙경로당","경기도 성남시 수정구 위례광장로 311 (창곡동, 위례35단지)","2023-07-07 14:28:26","2023-07-07 14:28:26","Y","경기도 성남시 수정구 위례동","20230520","20230930","100","5","0","1","null","null","null","null","510-0","3790039","null","0E-8","0E-8","37.47220000","127.14560000"
"","","","","","","45800106","2023","4580031000","001","주산노휴제","전라북도 부안군 주산면 선돌로 389","2021-02-04 14:24:42","2023-08-08 09:29:44","Y","전라북도 부안군 주산면","20200101","20231231","60","15","2","1","Y","Y","N","null","갈촌리 357-18","4790119","063-580-4572","0E-8","0E-8","35.67155590","126.70937620"
"","","","","","","45800107","2023","4580031000","001","화정여성경로당","전라북도 부안군 주산면화정길 21","2021-02-04 14:24:42","2023-08-08 09:29:44","Y","전라북도 부안군 주산면","20200101","20231231","93","23","2","1","Y","Y","N","null","448-6","4790119","063-580-4572","0E-8","0E-8","35.66248190","126.71166900"
"","","","","","","45800108","2023","4580031000","001","농원경로당","전라북도 부안군 주산면 사산농원안길 13-1, 농원회관","2021-02-04 14:24:42","2023-08-08 09:29:44","Y","전라북도 부안군 주산면","20200101","20231231","94","23","2","1","Y","Y","N","null","사산리 329-41 농원회관","4790119","063-580-4572","0E-8","0E-8","35.66595060","126.70589610"
"","","","","","","45800109","2023","4580031000","001","사산경로당","전라북도 부안군 주산면 사산길 63-1, 사산마을회관","2021-02-04 14:24:42","2023-08-08 09:29:44","Y","전라북도 부안군 주산면","20200101","20231231","58","14","2","1","Y","Y","N","null","사산리 35-4 사산마을회관","4790119","063-580-4572","0E-8","0E-8","35.67207500","126.69711620"
"","","","","","","45800110","2023","4580031000","001","산돌경로당","전라북도 부안군 주산면산돌길 8-10","2021-02-04 14:24:42","2023-08-08 09:29:44","Y","전라북도 부안군 주산면","20200101","20231231","85","21","2","1","Y","Y","N","null","486-18","4790119","063-580-4572","0E-8","0E-8","35.66140010","126.69165520"
"","","","","","","45800111","2023","4580031000","001","송정경로당","전라북도 부안군 주산면 송정산돌길 13","2021-02-04 14:24:42","2023-08-08 09:29:44","Y","전라북도 부안군 주산면","20200101","20231231","117","29","2","1","Y","Y","N","null","사산리 411-3","4790119","063-580-4572","0E-8","0E-8","35.66139500","126.70150430"
"","","","","","","45800112","2023","4580031000","001","신흥경로당","전라북도 부안군 주산면 사산서길 57 , 신흥마을회관","2021-02-04 14:24:42","2023-08-08 09:29:44","Y","전라북도 부안군 주산면","20200101","20231231","84","20","2","1","Y","Y","N","null","사산리 840-108 신흥마을회관","4790119","063-580-4572","0E-8","0E-8","35.65944240","126.67797590"
"","","","","","","45800113","2023","4580031000","001","돈계도성경로당","전라북도 부안군 주산면 돈계길 62","2021-02-04 14:24:42","2023-08-08 09:29:44","Y","전라북도 부안군 주산면","20200101","20231231","86","21","2","1","Y","Y","N","null","돈계리 496-5","4790119","063-580-4572","0E-8","0E-8","35.68087870","126.69902040"
"","","","","","","45800114","2023","4580031000","001","돈계경로당","전라북도 부안군 주산면 중계길 29-2, 돈계경로당","2021-02-04 14:24:42","2023-08-08 09:29:44","Y","전라북도 부안군 주산면","20200101","20231231","80","20","2","1","Y","Y","N","null","돈계리 551-6 돈계경로당","4790119","063-580-4572","0E-8","0E-8","35.67888570","126.70109540"
"","","","","","","47900100","2023","4790034000","001","장산2리경로당","경상북도 예천군 감천면 장산마촌길 230","2021-03-10 18:10:16","2023-07-14 18:56:45","Y","경상북도 예천군 감천면","20230520","20230930","79","19","1","1","Y","Y","N","null","490-0","5230088","054-650-6332","0E-8","0E-8","36.70510100","128.53874000"
"","","","","","","47900101","2023","4790034000","001","장산2리건신기경로당","경상북도 예천군 감천면 장산3길 56","2021-03-10 18:10:16","2023-07-14 18:56:45","Y","경상북도 예천군 감천면","20230520","20230930","71","17","1","1","Y","Y","N","null","10-0","5230088","054-650-6332","0E-8","0E-8","36.70359260","128.55146530"
"","","","","","","47900102","2023","4790034000","001","장산2리가좌골","경상북도 예천군 감천면 장산2길 56","2021-03-10 18:10:16","2023-07-14 18:56:45","Y","경상북도 예천군 감천면","20230520","20230930","80","20","1","1","Y","Y","N","null","381-0","5230088","054-650-6332","0E-8","0E-8","36.69922200","128.53539800"
"","","","","","","47900103","2023","4790035000","001","노은당경로당","경상북도 예천군 보문면 미호길 119","2021-03-10 18:10:16","2023-07-14 18:56:45","Y","경상북도 예천군 보문면","20230520","20230930","99","24","1","1","N","Y","N","null","162-3","5230088","054-650-6332","0E-8","0E-8","36.66506610","128.51011880"
"","","","","","","47900104","2023","4790035000","001","보문경로당","경상북도 예천군 보문면 미호길 148","2021-03-10 18:10:16","2023-07-14 18:56:45","Y","경상북도 예천군 보문면","20230520","20230930","119","29","1","1","N","Y","N","null","111-4","5230088","054-650-6332","0E-8","0E-8","36.66366300","128.51244300"
"","","","","","","47900105","2023","4790035000","001","미호2리경로당","경상북도 예천군 보문면 미호길 182","2021-03-10 18:10:16","2023-07-14 18:56:45","Y","경상북도 예천군 보문면","20230520","20230930","83","20","1","1","N","Y","N","null","56-1","5230088","054-650-6332","0E-8","0E-8","36.66435100","128.51589300"
"","","","","","","41590620","2023","4159058500","001","우림필유타운하우스 경로당","경기도 화성시 동탄공원로1길 6-60","2021-03-10 10:33:42","2023-08-03 17:24:50","Y","경기도 화성시 동탄1동","20210520","20210930","57","7","2","2","N","N","N","null","74-0","5530366","031-5189-1620","0E-8","0E-8","37.20083200","127.06071240"
"","","","","","","41590612","2023","4159058000","001","포스코더샵경로당","경기도 화성시 동탄문화센터로 39","2021-03-10 10:33:42","2023-08-03 17:24:50","Y","경기도 화성시 동탄동","20210520","20210930","131","16","4","2","N","N","N","null","102-0","5530366","031-5189-1620","0E-8","0E-8","37.19939560","127.06939260"
"","","","","","","43130353","2023","4313055000","001","남산동일하이빌 경로당","충청북도 충주시 염밭로 22","2021-02-25 09:38:45","2023-07-13 08:34:57","Y","충청북도 충주시 용산동","20230520","20230930","138","34","2","4","N","Y","N","null","2627-0","4390176","043-850-6534","0E-8","0E-8","36.95938700","127.94537700"
"","","","","","","43130354","2023","4313055000","001","용산주공2단지 경로당","충청북도 충주시 남산로 125","2021-02-25 09:38:45","2023-07-13 08:34:57","Y","충청북도 충주시 용산동","20230520","20230930","120","30","2","2","N","Y","N","null","1678-0","4390176","043-850-6534","0E-8","0E-8","36.96268600","127.94590200"
"","","","","","","43130355","2023","4313056000","001","화목 경로당","충청북도 충주시 사직산14길 33-1 (지현동)","2021-02-25 09:38:45","2023-07-12 14:26:23","Y","충청북도 충주시 지현동","20210520","20210930","53","13","2","1","Y","Y","null","null","207-0","4390176","043-850-6534","1038066.72947600","1885852.08243300","36.97033610","127.92766390"
"","","","","","","43130360","2023","4313056000","001","지현 경로당","충청북도 충주시 지곡5길 8 (지현동)","2021-02-25 09:38:45","2023-07-12 14:57:51","Y","충청북도 충주시 지현동","20210520","20210930","138","34","2","2","Y","Y","null","null","1384-0","4390176","043-850-6534","1038489.88503400","1885096.31600700","36.96350620","127.93237920"
"","","","","","","41590613","2023","4159058000","001","한화꿈에그린 경로당","경기도 화성시 동탄시범한빛길 10","2021-03-10 10:33:42","2023-08-03 17:24:50","Y","경기도 화성시 동탄동","20210520","20210930","81","10","2","3","N","N","N","null","21-0","5530366","031-5189-1620","0E-8","0E-8","37.20752540","127.06733260"
"","","","","","","41590614","2023","4159058000","001","우남퍼스트빌 경로당","경기도 화성시 동탄중앙로 171","2021-03-10 10:33:42","2023-08-03 17:24:50","Y","경기도 화성시 동탄동","20210520","20210930","111","14","2","2","N","N","N","null","79-0","5530366","031-5189-1620","0E-8","0E-8","37.20012780","127.06624080"
"","","","","","","41590615","2023","4159058000","001","월드반도 경로당","경기도 화성시 동탄중앙로 189","2021-03-10 10:33:42","2023-08-03 17:24:50","Y","경기도 화성시 동탄동","20210520","20210930","216","27","3","2","N","N","N","null","80-0","5530366","031-5189-1620","0E-8","0E-8","37.20260220","127.06578230"
"","","","","","","41590616","2023","4159058000","001","금호어울림 경로당","경기도 화성시 동탄중앙로 213","2021-03-10 10:33:42","2023-08-03 17:24:50","Y","경기도 화성시 동탄동","20210520","20210930","84","11","3","3","N","N","N","null","82-0","5530366","031-5189-2346","0E-8","0E-8","37.20562930","127.06686020"
"","","","","","","41590617","2023","4159058500","001","케이씨씨스위첸 경로당","경기도 화성시 동탄시범한빛길 38","2021-03-10 10:33:42","2023-08-03 17:24:50","Y","경기도 화성시 동탄1동","20210520","20210930","96","12","3","1","N","N","N","null","19-0","5530366","031-5189-1620","0E-8","0E-8","37.20949430","127.06905460"
"","","","","","","45800056","2023","4580025000","001","행하경로당","전라북도 부안군 부안읍 행하길 33","2021-02-04 14:24:42","2023-08-08 09:29:44","Y","전라북도 부안군 부안읍","20200101","20231231","70","17","1","1","N","Y","N","null","행중리 151","4790119","063-580-4572","0E-8","0E-8","35.71009840","126.75462410"
"","","","","","","45800057","2023","4580025000","001","연곡경로당","전라북도 부안군 부안읍 연곡안길 15-6","2021-02-04 14:24:42","2023-08-08 09:29:44","Y","전라북도 부안군 부안읍","20200721","20231231","70","17","1","1","N","Y","N","null","연곡리 124-1","4790119","063-580-4572","0E-8","0E-8","35.71075610","126.74784550"
"","","","","","","45800058","2023","4580025000","001","회성경로당","전라북도 부안군 부안읍 회성길 7-1","2021-02-04 14:24:42","2023-08-08 09:29:44","Y","전라북도 부안군 부안읍","20200720","20231231","98","24","1","1","N","Y","N","null","연곡리 272-2","4790119","063-580-4572","0E-8","0E-8","35.70471860","126.74614340"
"","","","","","","45800059","2023","4580025000","001","효동경로당","전라북도 부안군 부안읍 효동길 3-4","2021-02-04 14:24:42","2023-08-08 09:29:44","Y","전라북도 부안군 부안읍","20200720","20231231","68","17","1","1","N","Y","N","null","연곡리 305-1","4790119","063-580-4572","0E-8","0E-8","35.70587570","126.74396190"
"","","","","","","45800060","2023","4580025000","001","상리경로당","전라북도 부안군 부안읍 옹중서원길 26","2021-02-04 14:24:42","2023-08-08 09:29:44","Y","전라북도 부안군 부안읍","20200720","20231231","78","19","1","1","N","Y","N","null","옹중리 382-6","4790119","063-580-4572","0E-8","0E-8","35.70514980","126.74245350"
"","","","","","","45800061","2023","4580025000","001","신기경로당","전라북도 부안군 부안읍 옹중신기길 27-3","2021-02-04 14:24:42","2023-08-08 09:29:44","Y","전라북도 부안군 부안읍","20200720","20231231","71","17","1","1","N","Y","N","null","옹중리 284","4790119","063-580-4572","0E-8","0E-8","35.70293550","126.75096830"
"","","","","","","45800062","2023","4580025000","001","월리경로당","전라북도 부안군 부안읍 월리길 25","2021-02-04 14:24:42","2023-08-08 09:29:44","Y","전라북도 부안군 부안읍","20200720","20231231","78","19","1","1","N","Y","N","null","옹중리 209-1","4790119","063-580-4572","0E-8","0E-8","35.70071850","126.74812810"
"","","","","","","45800063","2023","4580025000","001","월신경로당","전라북도 부안군 부안읍 신광로 363","2021-02-04 14:24:42","2023-08-08 09:29:44","Y","전라북도 부안군 부안읍","20200721","20231231","90","22","1","1","N","Y","N","null","옹중리 858-2","4790119","063-580-4572","0E-8","0E-8","35.69818060","126.76485310"
"","","","","","","45800064","2023","4580025000","001","중리경로당","전라북도 부안군 부안읍 중리길 7-8","2021-02-04 14:24:42","2023-08-08 09:29:44","Y","전라북도 부안군 부안읍","20200720","20231231","86","21","1","1","N","Y","N","null","481-1","4790119","063-580-4572","0E-8","0E-8","35.70202870","126.74488640"
"","","","","","","45800065","2023","4580025000","001","구덕경로당","전라북도 부안군 부안읍 구덕길 45-8","2021-02-04 14:24:42","2023-08-08 09:29:44","Y","전라북도 부안군 부안읍","20200721","20231231","88","21","1","1","N","Y","N","null","내요리 650-1","4790119","063-580-4572","0E-8","0E-8","35.67889620","126.73061200"
"","","","","","","45800066","2023","4580025000","001","돌모산경로당","전라북도 부안군 부안읍 돌모산로 146","2021-02-04 14:24:42","2023-08-08 09:29:44","Y","전라북도 부안군 부안읍","20200720","20231231","106","26","1","1","N","Y","N","null","내요리 787-2","4790119","063-580-4572","0E-8","0E-8","35.68634690","126.73471110"
"","","","","","","43130351","2023","4313055000","001","용정 경로당","충청북도 충주시 거룡6길 17","2021-02-25 09:38:45","2023-07-13 08:34:57","Y","충청북도 충주시 용산동","20230520","20230930","90","22","3","2","N","Y","N","null","780-0","4390176","043-850-6534","0E-8","0E-8","36.96385300","127.93673800"
"","","","","","","43130352","2023","4313055000","001","남산 경로당","충청북도 충주시 금봉1길 20-5","2021-02-25 09:38:45","2023-07-13 08:34:57","Y","충청북도 충주시 용산동","20230520","20230930","91","23","1","1","N","Y","N","null","1907-10","4390176","043-850-6534","0E-8","0E-8","36.95935000","127.94244600"
"","","","","","","41590605","2023","4159058500","099","동탄복합문화센터도서관","경기도 화성시 노작로 134","2021-03-10 10:33:42","2023-08-04 10:57:37","Y","경기도 화성시 동탄1동","20230701","20230930","6459","255","0","48","Y","Y","null","null","108-0","5530366","031-5189-1620","0E-8","0E-8","37.20286080","127.07693150"
"","","","","","","41590606","2023","4159058500","001","신일유토빌 경로당","경기도 화성시 동탄반석로 232","2021-03-10 10:33:42","2023-08-03 17:24:50","Y","경기도 화성시 동탄1동","20210520","20210930","135","17","4","3","N","N","N","null","56-0","5530366","031-5189-1620","0E-8","0E-8","37.20824090","127.07585200"
"","","","","","","41590609","2023","4159058500","001","메타폴리스 제2경로당","경기도 화성시 동탄중앙로 200","2021-03-10 10:33:42","2023-08-03 17:24:50","Y","경기도 화성시 동탄1동","20210520","20210930","235","29","5","3","N","N","N","null","98-0","5530366","031-5189-1620","0E-8","0E-8","37.20277480","127.06824720"
"","","","","","","41590610","2023","4159058000","001","삼성래미안경로당","경기도 화성시 메타폴리스로 6","2021-03-10 10:33:42","2023-08-03 17:24:50","Y","경기도 화성시 동탄동","20210520","20210930","108","13","2","2","N","N","N","null","100-0","5530366","031-5189-1620","0E-8","0E-8","37.20099580","127.07006010"
"","","","","","","41590611","2023","4159058000","001","메타역롯데캐슬 경로당(다숲캐슬경로당)","경기도 화성시 메타폴리스로 22","2021-03-10 10:33:42","2023-08-03 17:24:50","Y","경기도 화성시 동탄동","20210520","20210930","140","18","5","1","N","N","N","null","101-0","5530366","031-5189-1620","0E-8","0E-8","37.20099580","127.07006010"
"","","","","","","43130344","2023","4313055000","001","용산2구 경로당","충청북도 충주시 남산로 75-14","2021-02-25 09:38:45","2023-07-13 08:34:57","Y","충청북도 충주시 용산동","20230520","20230930","88","22","1","1","N","Y","N","null","1631-0","4390176","043-850-6534","0E-8","0E-8","36.96219600","127.94034400"
"","","","","","","43130345","2023","4313055000","001","영진보람아파트 경로당","충청북도 충주시 용산로 33","2021-02-25 09:38:45","2023-07-13 08:34:57","Y","충청북도 충주시 용산동","20230520","20230930","259","65","2","1","N","Y","N","null","335-0","4390176","043-850-6534","0E-8","0E-8","36.96582700","127.93797200"
"","","","","","","43130346","2023","4313055000","001","대림아파트 경로당","충청북도 충주시 염밭로 91","2021-02-25 09:38:45","2023-07-13 08:34:57","Y","충청북도 충주시 용산동","20230520","20230930","85","21","1","1","N","Y","N","null","457-0","4390176","043-850-6534","0E-8","0E-8","36.96567600","127.94165500"
"","","","","","","43130347","2023","4313055000","001","신원8차아파트 경로당","충청북도 충주시 금봉3길 8","2021-02-25 09:38:45","2023-07-13 08:34:57","Y","충청북도 충주시 용산동","20230520","20230930","120","30","1","1","N","Y","N","null","1610-1","4390176","043-850-6534","0E-8","0E-8","36.96222400","127.94073700"
"","","","","","","43130348","2023","4313055000","001","신원10차아파트 경로당","충청북도 충주시 염밭로 79-4","2021-02-25 09:38:45","2023-07-13 08:34:57","Y","충청북도 충주시 용산동","20230520","20230930","73","18","2","2","N","Y","N","null","475-0","4390176","043-850-6534","0E-8","0E-8","36.96487400","127.94179100"
"","","","","","","43130349","2023","4313055000","001","용산아파트 경로당","충청북도 충주시 거룡2길 17","2021-02-25 09:38:45","2023-07-13 08:34:57","Y","충청북도 충주시 용산동","20230520","20230930","259","65","3","2","N","Y","N","null","2102-0","4390176","043-850-6534","0E-8","0E-8","36.95863500","127.93710200"
"","","","","","","43130350","2023","4313055000","001","용산3주공아파트 경로당","충청북도 충주시 남산로 114","2021-02-25 09:38:45","2023-07-13 08:34:57","Y","충청북도 충주시 용산동","20230520","20230930","109","27","2","1","N","Y","N","null","1680-0","4390176","043-850-6534","0E-8","0E-8","36.96110800","127.94549900"
"","","","","","","45800054","2023","4580025000","001","금추경로당","전라북도 부안군 부안읍 금추길 46","2021-02-04 14:24:42","2023-08-08 09:29:44","Y","전라북도 부안군 부안읍","20200101","20231231","43","10","1","1","N","Y","N","null","행중리 54","4790119","063-580-4572","0E-8","0E-8","35.70365750","126.77240060"
"","","","","","","45800055","2023","4580025000","001","행상경로당","전라북도 부안군 부안읍 행상길 19-16","2021-02-04 14:24:42","2023-08-08 09:29:44","Y","전라북도 부안군 부안읍","20200721","20231231","69","17","1","1","Y","Y","N","null","행중리 226-3","4790119","063-580-4572","0E-8","0E-8","35.71169800","126.75139920"
"","","","","","","47900078","2023","4790034000","001","포2리 복골 경로당","null","2021-03-10 18:10:16","2023-07-14 18:56:45","Y","경상북도 예천군 감천면","20230520","20230930","73","18","1","1","Y","Y","N","null","730-1","5230088","054-650-6332","0E-8","0E-8","36.70360800","128.51777800"
"","","","","","","47900079","2023","4790034000","001","덕율1리경로당","경상북도 예천군 감천면 덕율4길 50","2021-03-10 18:10:16","2023-07-14 18:56:45","Y","경상북도 예천군 감천면","20230520","20230930","30","8","1","1","Y","Y","N","null","507-6","5230088","054-650-6332","0E-8","0E-8","36.71055800","128.49822600"
"","","","","","","47900080","2023","4790034000","001","덕율2리 경로당","경상북도 예천군 감천면 충효로 1051-17","2021-03-10 18:10:16","2023-07-14 18:56:45","Y","경상북도 예천군 감천면","20230520","20230930","30","8","1","1","Y","Y","N","null","609-24","5230088","054-650-6332","0E-8","0E-8","36.70160300","128.50194000"
"","","","","","","43130296","2023","4313043000","004","소태면 복탄진료소","충청북도 충주시 소태면 덕은로 756","2021-02-25 09:38:45","2023-07-19 10:38:34","Y","충청북도 충주시 소태면","20200520","20200930","157","10","2","1","N","N","N","null","685-6","4390176","043-850-6534","0E-8","0E-8","37.11446600","127.82191600"
"","","","","","","46810164","2023","4681035000","001","약천경로당","전라남도 강진군 신전면약천길 8","2021-03-10 10:43:16","2023-07-12 05:02:00","Y","전라남도 강진군 신전면","20230520","20230930","77","19","1","1","Y","Y","N","null","419-2","4920131","061-430-3934","0E-8","0E-8","34.49259300","126.74306400"
"","","","","","","41590463","2023","4159041000","001","계향2리 경로당","경기도 화성시 정남면 내향로 83-3","2021-03-10 10:33:42","2023-08-03 17:24:50","Y","경기도 화성시 정남면","20190515","20191015","103","29","2","1","N","Y","N","null","계향리 551-19","5530366","031-5189-2346","0E-8","0E-8","37.14534650","126.98578930"
"","","","","","","4889069","2023","4889032000","001","봉곡1구경로당","경상남도 합천군 묘산면 봉곡2길 34","2021-03-05 17:53:24","2023-07-20 13:54:59","Y","경상남도 합천군 묘산면","20230520","20230930","84","20","2","1","Y","Y","Y","null","봉곡리 460-3 사리1리마을회관","5480120","055-930-3489","0E-8","0E-8","35.64120300","128.10787400"
"","","","","","","41590500","2023","4159051500","001","새솔동 대방1차 경로당(4통)","경기도 화성시 수노을1로 148","2021-03-10 10:33:42","2023-08-04 11:42:01","Y","경기도 화성시 새솔동","20200720","20230930","124","31","1","1","N","N","N","null","14-0","5530366","031-5189-2346","0E-8","0E-8","37.28600000","126.81930000"
"","","","","","","43130283","2023","4313043000","001","하청 경로당","충청북도 충주시 소태면중청길 72-1","2021-02-25 09:38:45","2023-07-19 10:38:34","Y","충청북도 충주시 소태면","20210520","20210930","117","15","3","1","Y","Y","N","null","469-13","4390176","043-850-6534","0E-8","0E-8","37.09110400","127.84651700"
"","","","","","","43130284","2023","4313043000","001","조기암 경로당","충청북도 충주시 소태면조기암길 73","2021-02-25 09:38:45","2023-07-19 10:38:34","Y","충청북도 충주시 소태면","20210520","20210930","199","15","2","1","Y","Y","N","null","490-1","4390176","043-850-6534","0E-8","0E-8","37.13433060","127.80304200"
"","","","","","","43130285","2023","4313043000","001","세포 경로당","충청북도 충주시 소태면주치길 851","2021-02-25 09:38:45","2023-07-19 10:38:34","Y","충청북도 충주시 소태면","20210520","20210930","66","10","1","1","Y","Y","N","null","165-6","4390176","043-850-6534","0E-8","0E-8","37.15073070","127.82114080"
"","","","","","","41590522","2023","4159052000","001","주공12단지 경로당","경기도 화성시 병점4로 103","2021-03-10 10:33:42","2023-08-03 17:24:50","Y","경기도 화성시 진안동","20190515","20191015","217","71","3","2","N","Y","N","null","910-0","5530366","031-5189-2346","0E-8","0E-8","37.21777800","127.04114520"
"","","","","","","43130281","2023","4313043000","001","별묘 경로당","충청북도 충주시 소태면주치길 32","2021-02-25 09:38:45","2023-07-19 10:38:34","Y","충청북도 충주시 소태면","20210520","20210930","111","15","2","1","Y","Y","N","null","171-6","4390176","043-850-6534","0E-8","0E-8","37.11143300","127.84626300"
"","","","","","","43130282","2023","4313043000","001","가청 경로당","충청북도 충주시 소태면소태로 355-1","2021-02-25 09:38:45","2023-07-19 10:38:34","Y","충청북도 충주시 소태면","20210520","20210930","92","15","1","1","Y","Y","N","null","194-0","4390176","043-850-6534","0E-8","0E-8","37.10150000","127.85181800"
"","","","","","","41590512","2023","4159052000","001","월드메르디앙 경로당","경기도 화성시 병점중앙로 202","2021-03-10 10:33:42","2023-08-03 17:24:50","Y","경기도 화성시 진안동","20190515","20191015","72","40","1","1","N","Y","N","null","935-0","5530366","031-5189-2346","0E-8","0E-8","37.21535570","127.03580160"
"","","","","","","41590513","2023","4159052000","001","푸르지오 경로당","경기도 화성시 동탄지성로 405 (기산동, 화성 태안 푸르지오)","2021-03-10 10:33:42","2023-08-03 17:24:50","Y","경기도 화성시 진안동","20190515","20191015","81","30","2","2","N","Y","N","null","기산동 466","5530366","031-5189-2346","0E-8","0E-8","37.22756310","127.04440190"
"","","","","","","41590514","2023","4159052000","001","참누리1단지 경로당","경기도 화성시 동탄지성로 295","2021-03-10 10:33:42","2023-08-03 17:24:50","Y","경기도 화성시 진안동","20190515","20191015","279","21","1","1","N","Y","N","null","467-0","5530366","031-5189-2346","0E-8","0E-8","37.22001540","127.05043520"
"","","","","","","41590515","2023","4159052000","001","주공11단지 경로당","경기도 화성시 효행로 1075-10 (진안동, 진안골마을 주공아파트)","2021-03-10 10:33:42","2023-08-03 17:24:50","Y","경기도 화성시 진안동","20190515","20191015","178","45","1","1","N","Y","N","null","911번지","5530366","031-5189-2346","0E-8","0E-8","37.21639430","127.04498230"
"","","","","","","41590516","2023","4159052000","001","기산3통 경로당","경기도 화성시 진안북길79번길 3","2021-03-10 10:33:42","2023-08-03 17:24:50","Y","경기도 화성시 진안동","20190515","20191015","99","21","2","1","Y","Y","N","null","32-0","5530366","031-5189-2346","0E-8","0E-8","37.22645790","127.03589690"
"","","","","","","41590517","2023","4159052000","001","화남2차 경로당","경기도 화성시 병점중앙로169번길 5","2021-03-10 10:33:42","2023-08-03 17:24:50","Y","경기도 화성시 진안동","20190515","20191015","78","21","1","1","N","Y","N","null","506-0","5530366","031-5189-2346","0E-8","0E-8","37.21222990","127.03703560"
"","","","","","","4117100072","2023","4117154000","001","중앙경로당","경기도 안양시 만안구 장내로99번길 9 (안양동)","2023-05-08 14:38:08","2023-05-08 17:58:27","Y","경기도 안양시 만안구 안양4동","20230520","20230930","198","68","6","3","N","N","N","null","711-77","3830316","031-8045-5859","0E-8","0E-8","37.39615650","126.91889320"
